City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Nedjo,9.5046,35.5019,57.87,61,30,2.77,ET,1614562615
Saldanha,-33.0117,17.9442,59.0,88,85,11.5,ZA,1614562616
Beringovskiy,63.05,179.3167,-2.07,88,100,28.48,RU,1614562616
Provideniya,64.3833,-173.3,-4.0,77,90,29.08,RU,1614562616
Marabba,12.35,32.1833,70.63,13,0,14.18,SD,1614562617
East London,-33.0153,27.9116,70.27,73,1,21.61,ZA,1614562617
Saskylakh,71.9167,114.0833,-22.94,94,100,7.31,RU,1614562617
Buchanan,5.8808,-10.0467,77.0,94,75,3.71,LR,1614562617
Leua,48.2156,18.6071,39.0,73,0,5.06,SK,1614562618
Leh,34.1667,77.5833,5.72,70,11,1.99,IN,1614562569
Veraval,20.9,70.3667,72.68,57,0,12.77,IN,1614562619
Severo-Yeniseyskiy,60.3725,93.0408,-21.98,96,5,1.77,RU,1614562619
Kaitangata,-46.2817,169.8464,66.0,87,100,10.0,NZ,1614562619
Charters Towers,-20.1,146.2667,77.18,78,100,20.58,AU,1614562619
Aksu,41.1231,80.2644,27.41,89,0,3.11,CN,1614562620
Korla,41.7597,86.1469,30.29,77,1,5.64,CN,1614562620
Ampanihy,-24.7,44.75,74.62,89,100,10.67,MG,1614562621
Sao Filipe,14.8961,-24.4956,67.28,74,17,11.99,CV,1614562621
Taoudenni,22.6783,-3.9836,61.77,26,0,4.68,ML,1614562623
Bengkulu,-3.8004,102.2655,83.66,65,47,2.8,ID,1614562623
Coihaique,-45.5752,-72.0662,55.31,99,100,4.36,CL,1614562624
Aksha,50.2814,113.2867,-1.75,88,59,2.39,RU,1614562624
Ilulissat,69.2167,-51.1,5.0,78,75,26.46,GL,1614562624
Marivan,35.5219,46.176,35.02,79,0,0.49,IR,1614562625
Hovd,48.0056,91.6419,12.36,35,93,0.45,MN,1614562625
Abha,18.2164,42.5053,57.2,62,0,4.61,SA,1614562368
Kurmanayevka,52.5093,52.0675,3.27,93,89,8.48,RU,1614562625
Puerto Escondido,15.85,-97.0667,78.8,78,40,5.21,MX,1614562626
Ajdabiya,30.7554,20.2263,54.21,73,0,6.44,LY,1614562626
Leningradskiy,69.3833,178.4167,-17.03,87,41,2.28,RU,1614562626
Hithadhoo,-0.6,73.0833,82.58,64,82,9.71,MV,1614562627
Brokopondo,4.75,-55.1667,74.61,86,100,7.94,SR,1614562627
Berdigestyakh,62.0989,126.6992,-16.19,86,100,9.17,RU,1614562628
Mahibadhoo,3.7833,72.9667,80.94,63,76,1.81,MV,1614562440
Mahebourg,-20.4081,57.7,75.2,88,75,5.75,MU,1614562629
Grong,64.4654,12.3149,40.87,85,100,24.14,NO,1614562629
Norman Wells,65.282,-126.8329,-22.0,69,90,11.5,CA,1614562629
Airai,-8.9266,125.4092,64.44,88,96,2.17,TL,1614562630
Hasaki,35.7333,140.8333,55.0,54,75,4.61,JP,1614562630
New Norfolk,-42.7826,147.0587,64.0,79,84,6.64,AU,1614562630
Subate,56.0062,25.9076,30.51,99,2,3.83,LV,1614562631
Adwa,14.1646,38.8955,54.88,61,0,1.95,ET,1614562631
Carballo,43.213,-8.691,42.01,93,0,1.01,ES,1614562631
Carnarvon,-24.8667,113.6333,78.8,69,98,13.8,AU,1614562632
Tommot,58.9564,126.2925,-14.39,91,100,8.95,RU,1614562632
Tomiya,38.3931,140.8861,51.8,40,40,6.91,JP,1614562632
Teguldet,57.3064,88.1667,-10.44,89,100,7.25,RU,1614562632
Husavik,66.0449,-17.3389,41.0,48,40,23.02,IS,1614562654
Castro,-24.7911,-50.0119,63.63,97,100,7.65,BR,1614562654
Acajutla,13.5928,-89.8275,79.29,80,56,7.14,SV,1614562654
Port Elizabeth,-33.918,25.5701,69.8,83,0,12.66,ZA,1614562614
Port Alfred,-33.5906,26.891,70.57,76,0,25.7,ZA,1614562655
Dalbandin,28.8947,64.4101,46.87,44,0,5.32,PK,1614562655
Guerrero Negro,27.9769,-114.0611,65.73,26,0,13.0,MX,1614562656
Yeniseysk,58.4497,92.1703,-18.13,88,56,3.51,RU,1614562656
San Ramon,37.7799,-121.978,62.6,25,1,9.22,US,1614562657
Gela,37.0803,14.2307,48.99,87,18,3.44,IT,1614562640
Marsh Harbour,26.5412,-77.0636,75.38,79,0,13.94,BS,1614562519
Mecca,21.4267,39.8261,65.25,43,0,7.25,SA,1614562658
Alihe,50.5667,123.7167,1.15,67,0,3.83,CN,1614562658
Yellowknife,62.456,-114.3525,-20.2,63,75,12.66,CA,1614562443
Usogorsk,63.4106,48.6872,13.84,95,100,8.97,RU,1614562658
Dikson,73.5069,80.5464,-14.28,87,100,22.91,RU,1614562659
Nikolskoye,59.7035,30.7861,35.01,86,0,8.95,RU,1614562659
Lata,40.1629,-8.3327,55.99,92,0,1.01,PT,1614562659
Georgetown,5.4112,100.3354,81.0,88,40,3.44,MY,1614562660
Seoul,37.5683,126.9778,42.8,93,90,6.91,KR,1614562463
Hay River,60.8156,-115.7999,-5.8,49,100,12.66,CA,1614562660
Rio Grande,-32.035,-52.0986,75.0,83,45,1.99,BR,1614562586
Bocas Del Toro,9.3333,-82.25,64.0,68,83,4.0,PA,1614562661
Razvilnoye,46.2387,41.2987,33.4,94,97,5.21,RU,1614562661
Vanimo,-2.6741,141.3028,87.15,63,67,9.31,PG,1614562662
Butaritari,3.0707,172.7902,80.47,84,100,13.91,KI,1614562662
Constitucion,-35.3333,-72.4167,65.39,60,0,10.36,CL,1614562663
Bollnas,61.3482,16.3946,34.75,88,67,6.49,SE,1614562663
Port Hawkesbury,45.6169,-61.3485,28.99,86,90,12.66,CA,1614562663
Severo-Kurilsk,50.6789,156.125,27.23,76,94,24.87,RU,1614562663
Anahuac,27.2333,-100.15,82.4,54,90,9.01,MX,1614562664
Ust-Nera,64.5667,143.2,-13.72,78,74,2.62,RU,1614562664
Krasnoselkup,65.7,82.4667,-29.99,82,50,8.46,RU,1614562664
Portland,45.5234,-122.6762,55.4,47,20,3.2,US,1614562276
Port Keats,-14.25,129.55,89.15,59,6,5.73,AU,1614562665
Laguna,38.421,-121.4238,66.2,30,1,1.95,US,1614562665
Jamestown,42.097,-79.2353,42.01,93,90,11.61,US,1614562666
Alice Springs,-23.7,133.8833,93.2,10,0,8.05,AU,1614562491
Tete,-16.1564,33.5867,73.4,94,75,5.75,MZ,1614562666
Mar Del Plata,-38.0023,-57.5575,70.0,94,0,9.22,AR,1614562597
Comodoro Rivadavia,-45.8667,-67.5,78.8,41,0,10.36,AR,1614562484
Alofi,-19.0595,-169.9187,77.0,88,90,6.91,NU,1614562696
Hami,42.8,93.45,32.77,61,0,1.07,CN,1614562701
Yaan,7.3833,8.5667,75.72,80,0,6.46,NG,1614562701
Mana,5.6592,-53.7767,76.1,86,100,10.65,GF,1614562701
San Cristobal,7.7669,-72.225,66.06,86,94,2.62,VE,1614562702
Rapid Valley,44.0625,-103.1463,28.99,74,1,6.64,US,1614562452
Tasiilaq,65.6145,-37.6368,17.6,79,3,2.3,GL,1614562702
Lorengau,-2.0226,147.2712,85.17,71,69,10.76,PG,1614562703
Haines Junction,60.7522,-137.5108,24.8,58,100,12.66,CA,1614562703
Gizo,-8.103,156.8419,83.28,74,100,11.61,SB,1614562704
Ukiah,39.1502,-123.2078,69.8,24,1,5.75,US,1614562202
Jumla,29.2747,82.1838,43.57,36,41,3.56,NP,1614562704
Kalianget,-7.05,113.9333,83.25,71,20,4.21,ID,1614562705
Ca Mau,9.1769,105.15,85.64,64,88,11.16,VN,1614562705
Avarua,-21.2078,-159.775,84.2,79,40,13.8,CK,1614562705
Pevek,69.7008,170.3133,-20.74,87,0,3.24,RU,1614562706
Pisco,-13.7,-76.2167,75.2,73,75,4.61,PE,1614562706
Tautira,-17.7333,-149.15,86.0,74,75,12.66,PF,1614562707
Hit,33.6416,42.8251,53.33,41,0,3.24,IQ,1614562707
Khatanga,71.9667,102.5,-29.06,85,92,2.17,RU,1614562708
Thaba-Tseka,-29.522,28.6084,46.99,90,96,1.23,LS,1614562708
Mujiayingzi,42.1167,118.7833,13.82,70,95,4.94,CN,1614562708
Nioro,13.35,-15.75,68.76,27,27,8.88,GM,1614562709
Taos,36.4072,-105.5731,30.2,55,1,4.99,US,1614562628
Stillwater,36.1156,-97.0584,51.8,43,1,9.22,US,1614562709
Sao Miguel Do Araguaia,-13.275,-50.1628,71.73,90,100,4.9,BR,1614562710
Beloha,-25.1667,45.05,74.71,89,83,12.33,MG,1614562710
Atherton,53.5237,-2.4935,41.0,79,0,1.01,GB,1614562711
Mamlyutka,54.9375,68.5394,1.67,94,100,9.37,KZ,1614562711
Hamilton,39.1834,-84.5333,59.0,94,90,5.75,US,1614562415
Mount Isa,-20.7333,139.5,93.2,33,2,6.91,AU,1614562712
Tiksi,71.6872,128.8694,-28.95,85,100,5.1,RU,1614562712
Port Lincoln,-34.7333,135.8667,66.88,68,97,16.64,AU,1614562712
Krk,45.0258,14.5731,44.6,49,0,2.3,HR,1614562713
Veisiejai,54.1,23.7,30.85,99,48,4.0,LT,1614562713
Requena,39.4883,-1.1004,53.01,85,99,1.01,ES,1614562714
Guarapari,-20.6667,-40.4975,75.2,94,75,3.44,BR,1614562714
Susuman,62.7833,148.1667,-12.37,83,84,3.6,RU,1614562736
Yulara,-25.2406,130.9889,95.0,15,0,13.8,AU,1614562736
Jiaocheng,24.6774,116.1389,72.82,64,67,3.69,CN,1614562737
Horice,50.3661,15.6318,35.01,100,0,2.42,CZ,1614562737
Jizan,17.3333,42.6667,80.6,78,40,9.22,SA,1614562738
Yorosso,12.3536,-4.7761,76.42,16,70,5.48,ML,1614562739
Lasa,46.6166,10.7002,36.0,80,0,4.61,IT,1614562739
Pochutla,15.7432,-96.4661,78.8,73,1,4.85,MX,1614562742
Mackay,-21.15,149.2,82.4,78,40,17.27,AU,1614562742
Ibra,22.6906,58.5334,57.36,83,0,1.43,OM,1614562743
Geraldton,-28.7667,114.6,78.8,47,79,12.66,AU,1614562743
Mehamn,71.0357,27.8492,37.87,78,96,32.66,NO,1614562744
Cortes,41.9395,-1.4396,50.0,87,20,9.22,ES,1614562744
Chuy,-33.6971,-53.4616,70.2,81,99,12.03,UY,1614562744
Deer Lake,49.1667,-57.4316,28.4,80,90,5.75,CA,1614562589
Lavrentiya,65.5833,-171.0,-10.48,88,94,11.41,RU,1614562745
Uglich,57.5275,38.3317,15.49,97,88,4.45,RU,1614562745
Turukhansk,65.8167,87.9833,-32.76,77,0,3.65,RU,1614562746
Harper,4.375,-7.7169,77.47,86,100,2.44,LR,1614562746
Los Llanos De Aridane,28.6585,-17.9182,62.6,67,40,8.05,ES,1614562747
Mount Gambier,-37.8333,140.7667,68.0,56,75,18.41,AU,1614562747
Mareeba,-17.0,145.4333,75.2,78,90,12.66,AU,1614562748
Mugi,42.2994,47.4208,37.4,93,90,11.18,RU,1614562748
Aras,42.5617,-2.356,46.4,81,0,13.8,ES,1614562748
Vila Franca Do Campo,37.7167,-25.4333,57.2,94,75,11.5,PT,1614562749
Verkhnyaya Inta,65.9811,60.3094,5.22,90,100,10.45,RU,1614562749
Sakhon Nakhon,17.1612,104.1472,77.0,83,0,5.75,TH,1614562749
Roald,62.5833,6.1333,44.6,70,90,26.46,NO,1614562750
Tabou,4.423,-7.3528,77.18,88,100,3.02,CI,1614562750
Taitung,22.7583,121.1444,71.6,83,75,2.3,TW,1614562750
Christchurch,-43.5333,172.6333,68.0,94,75,13.8,NZ,1614562750
Livadiya,42.8692,132.6764,23.83,80,100,10.87,RU,1614562751
Kutum,14.2,24.6667,56.46,33,0,10.6,SD,1614562751
Bibiani,6.4635,-2.3194,72.23,98,100,1.57,GH,1614562751
Ancud,-41.8697,-73.8203,61.0,88,75,3.44,CL,1614562752
Preobrazheniye,42.9019,133.9064,26.69,83,100,5.39,RU,1614562752
Westport,41.1415,-73.3579,39.2,93,90,9.22,US,1614562632
Gimli,50.6336,-96.9907,-2.2,71,80,12.66,CA,1614562753
Balikpapan,-1.2675,116.8289,82.4,78,20,3.44,ID,1614562774
Semenivka,52.1783,32.5818,30.42,99,97,3.71,UA,1614562774
Grindavik,63.8424,-22.4338,37.4,87,90,11.5,IS,1614562775
Sur,22.5667,59.5289,67.93,63,0,4.85,OM,1614562775
Jacksonville,30.3322,-81.6556,75.2,78,75,4.61,US,1614562607
Marzuq,14.4,46.4667,59.63,33,27,4.94,YE,1614562776
Natal,-5.795,-35.2094,82.4,74,40,11.5,BR,1614562580
Prince Rupert,54.3161,-130.3201,33.8,100,90,2.3,CA,1614562727
Poli,-3.3333,36.8,59.97,86,36,2.75,TZ,1614562777
Caranavi,-15.8167,-67.55,63.07,93,73,2.39,BO,1614562777
Hobart,-42.8794,147.3294,64.4,68,75,9.22,AU,1614562777
Alto Araguaia,-17.3147,-53.2153,68.25,94,88,10.98,BR,1614562778
Hambantota,6.1241,81.1185,68.0,100,1,2.3,LK,1614562778
Kailua,21.4022,-157.7394,80.6,65,75,16.11,US,1614562576
Clyde River,70.4692,-68.5914,-27.4,62,20,3.44,CA,1614562779
Xining,36.6167,101.7667,24.6,63,0,2.24,CN,1614562529
Anastasiyevskaya,45.2158,37.8926,37.0,87,94,2.24,RU,1614562780
Upernavik,72.7868,-56.1549,7.97,67,100,10.13,GL,1614562780
Bandarbeyla,9.4942,50.8122,75.02,82,99,12.1,SO,1614562780
Porto Santo,33.072,-16.3415,59.0,72,40,10.36,PT,1614562781
La Peca,-5.6111,-78.435,67.51,82,79,2.24,PE,1614562781
Ahipara,-35.1667,173.1667,70.9,78,62,9.08,NZ,1614562782
Russell,32.3502,-85.1999,71.6,64,1,5.75,US,1614562782
Thompson,55.7435,-97.8558,-14.8,64,1,6.91,CA,1614562783
Cherskiy,68.75,161.3,-12.1,82,0,3.06,RU,1614562783
Karasburg,-28.0167,18.75,77.67,36,52,9.46,NA,1614562783
Assiniboia,49.6334,-105.9845,10.4,79,90,11.5,CA,1614562784
Majene,-3.5403,118.9707,82.6,67,92,2.26,ID,1614562784
Fairbanks,64.8378,-147.7164,1.0,71,90,5.75,US,1614562503
Chara,56.9064,118.2631,-18.15,57,53,1.74,RU,1614562785
Nova Gradiska,45.255,17.3831,32.0,86,0,2.3,HR,1614562785
Ambilobe,-13.2,49.05,73.31,92,46,2.1,MG,1614562786
Tuatapere,-46.1333,167.6833,72.0,72,86,1.99,NZ,1614562786
Port Blair,11.6667,92.75,80.44,56,0,5.46,IN,1614562786
Khonsa,27.0167,95.5667,67.21,52,75,0.69,IN,1614562787
Kalmunai,7.4167,81.8167,75.87,71,0,2.28,LK,1614562787
Buraydah,26.326,43.975,53.6,50,20,5.75,SA,1614562572
Lebu,-37.6167,-73.65,60.57,85,29,18.16,CL,1614562788
Hualmay,-11.0964,-77.6139,72.91,74,73,7.18,PE,1614562788
Muroto,33.2833,134.15,57.2,77,75,5.75,JP,1614562788
Amuntai,-2.4177,115.2494,88.41,55,7,1.81,ID,1614562813
Arki,31.15,76.9667,50.2,31,0,6.29,IN,1614562816
La Rioja,42.25,-2.5,46.4,81,0,13.8,ES,1614562820
Bethel,41.3712,-73.414,37.0,94,100,1.01,US,1614562537
Susanville,40.4163,-120.653,46.4,25,1,5.75,US,1614562528
Igarka,67.4667,86.5833,-35.16,82,8,6.55,RU,1614562821
Stavern,59.0,10.0333,34.0,86,0,1.14,NO,1614562822
Batticaloa,7.7102,81.6924,75.13,75,0,4.36,LK,1614562822
Komsomolskiy,40.4272,71.7189,26.6,80,48,6.91,UZ,1614562823
Cabo San Lucas,22.8909,-109.9124,72.0,64,75,4.61,MX,1614562823
Praia Da Vitoria,38.7333,-27.0667,53.6,94,40,7.56,PT,1614562687
Kedrovyy,56.1667,91.8167,-25.6,75,100,4.07,RU,1614562824
Bagdarin,54.4333,113.6,-10.77,77,81,0.89,RU,1614562824
Gidole,5.65,37.3667,63.59,56,54,3.18,ET,1614562825
Anaconda,46.1285,-112.9423,30.2,59,90,5.75,US,1614562825
Vestmanna,62.1564,-7.1664,46.4,100,40,9.22,FO,1614562826
Baykit,61.67,96.37,-25.31,80,51,0.81,RU,1614562826
Swift Current,50.2834,-107.8014,12.2,79,90,10.36,CA,1614562728
Umea,63.8284,20.2597,41.0,70,100,4.61,SE,1614562827
Kodiak,57.79,-152.4072,26.6,39,1,36.82,US,1614562824
Broome,42.2506,-75.833,39.0,93,90,11.5,US,1614562827
Tateyama,34.9833,139.8667,60.8,63,75,4.61,JP,1614562828
Rafai,4.95,23.9167,66.96,39,0,2.84,CF,1614562829
Salalah,17.0151,54.0924,73.4,60,0,2.3,OM,1614562829
Clonakilty,51.6231,-8.8706,39.2,87,20,13.8,IE,1614562829
Kahului,20.8947,-156.47,78.8,53,40,16.11,US,1614562788
Buala,-8.145,159.5921,80.38,83,100,11.18,SB,1614562830
Pimentel,-6.8367,-79.9342,73.99,81,30,1.99,PE,1614562830
Dutlwe,-23.9833,23.9,61.81,75,0,8.7,BW,1614562831
Moree,-29.4667,149.85,89.6,45,61,6.91,AU,1614562831
Karratha,-20.7377,116.8463,86.5,52,82,9.24,AU,1614562832
Kaltenkirchen,53.8333,9.9667,39.0,17,0,3.8,DE,1614562832
Viransehir,37.2353,39.7631,46.06,56,97,3.09,TR,1614562832
Hvide Sande,56.0045,8.1294,36.0,79,99,13.53,DK,1614562833
Fortuna,40.5982,-124.1573,51.01,78,1,1.01,US,1614562601
Naze,28.3667,129.4833,71.6,78,40,17.27,JP,1614562833
Moerai,-22.4333,-151.3333,81.32,82,99,12.26,PF,1614562833
Bismarck,46.8083,-100.7837,35.6,48,90,4.61,US,1614562580
Verkh-Usugli,52.7,115.1667,-8.63,85,90,2.64,RU,1614562855
Alyangula,-13.8483,136.4192,87.03,59,17,10.09,AU,1614562856
Avera,33.194,-82.5271,73.4,77,1,5.75,US,1614562856
Aklavik,68.2191,-135.0107,-29.2,68,83,9.22,CA,1614562857
Uvira,-3.4067,29.1458,72.59,64,74,2.19,CD,1614562857
Tarata,-17.6167,-66.0167,66.2,52,40,9.22,BO,1614562857
Meulaboh,4.1363,96.1285,79.92,81,24,4.52,ID,1614562858
Road Town,18.4167,-64.6167,78.8,78,40,13.8,VG,1614562598
Quatre Cocos,-20.2078,57.7625,75.2,88,75,5.75,MU,1614562858
Codrington,-38.2667,141.9667,65.71,60,8,19.73,AU,1614562859
Kungurtug,50.5994,97.5228,-1.25,74,98,1.88,RU,1614562859
Shaki,41.0833,47.1667,44.6,80,75,1.12,AZ,1614562860
Biak,-0.9131,122.8766,84.29,61,100,3.0,ID,1614562861
Desbiens,48.4178,-71.9495,23.0,86,90,3.44,CA,1614562861
Nong Chik,6.8436,101.178,79.05,75,28,5.28,TH,1614562861
Pitimbu,-7.4706,-34.8086,77.0,94,40,4.61,BR,1614562862
Talakan,50.3167,130.3667,-3.84,82,100,4.72,RU,1614562862
Ler,8.3018,30.1418,76.68,17,0,7.74,SS,1614562863
Ishigaki,24.3448,124.1572,73.4,73,20,3.44,JP,1614562863
Maniitsoq,65.4167,-52.9,4.82,90,100,12.06,GL,1614562863
Tullahoma,35.362,-86.2094,69.8,77,90,4.61,US,1614562864
Maiduguri,11.8464,13.1603,71.46,29,0,9.06,NG,1614562864
Sharan,54.8167,54.0,-2.13,92,100,6.42,RU,1614562864
Bubaque,11.2833,-15.8333,77.13,59,81,18.14,GW,1614562865
Evensk,61.95,159.2333,5.59,80,100,16.64,RU,1614562865
Talnakh,69.4865,88.3972,-33.92,80,17,9.35,RU,1614562866
Tura,25.5198,90.2201,72.93,50,0,3.56,IN,1614562847
Coahuayana,18.7333,-103.6833,78.8,47,1,2.08,MX,1614562867
Bangassou,4.7413,22.8184,68.88,35,1,2.77,CF,1614562868
Noyabrsk,63.1994,75.4507,-19.7,88,0,7.61,RU,1614562868
Vila Velha,-20.3297,-40.2925,75.2,94,75,3.44,BR,1614562869
Gazanjyk,39.2446,55.5154,43.83,45,0,4.03,TM,1614562869
Talcahuano,-36.7167,-73.1167,64.4,72,0,16.11,CL,1614562870
Jackson,42.4165,-122.8345,57.2,38,1,1.25,US,1614562694
Te Anau,-45.4167,167.7167,66.83,79,51,2.44,NZ,1614562870
Kijang,35.2442,129.2139,55.4,71,75,1.14,KR,1614562871
Burnie,-41.0667,145.9167,72.0,47,17,5.01,AU,1614562871
Muros,42.7762,-9.0603,46.0,81,0,1.01,ES,1614562893
Adrar,20.5022,-10.0711,58.73,35,0,10.45,MR,1614562841
Chingola,-12.529,27.8838,62.1,98,100,2.19,ZM,1614562894
Ewa Beach,21.3156,-158.0072,82.4,51,1,10.36,US,1614562894
Morant Bay,17.8815,-76.4093,80.6,65,20,24.16,JM,1614562895
Farah,32.5,62.5,40.08,55,0,2.37,AF,1614562895
Urucui,-7.2294,-44.5561,74.57,89,98,3.04,BR,1614562895
Winston-Salem,36.0999,-80.2442,66.99,79,100,1.99,US,1614562720
Scarborough,54.2797,-0.4044,37.0,94,0,1.01,GB,1614562896
Nhulunbuy,-12.2333,136.7667,87.8,74,75,13.8,AU,1614562896
Sitka,57.0531,-135.33,37.4,87,90,19.57,US,1614562897
Baniyas,35.1819,35.9487,53.6,87,40,4.61,SY,1614562897
Puro,12.4841,123.3827,81.97,69,78,10.83,PH,1614562897
Mwinilunga,-11.7358,24.4293,61.66,97,100,2.35,ZM,1614562897
Vestmannaeyjar,63.4427,-20.2734,41.56,67,100,15.05,IS,1614562898
Berlevag,70.8578,29.0864,37.83,78,88,32.79,NO,1614562898
Tanda,26.55,82.65,67.06,34,0,6.46,IN,1614562898
Kumeny,58.1089,49.9161,-8.88,91,0,4.56,RU,1614562899
Samarai,-10.6167,150.6667,84.79,73,92,10.58,PG,1614562899
Vardo,70.3705,31.1107,36.54,82,0,22.82,NO,1614562693
Majur,44.7697,19.6544,37.99,93,0,3.44,RS,1614562900
Watertown,42.3709,-71.1828,39.99,70,90,4.61,US,1614562621
Arrecife,28.963,-13.5477,60.8,72,0,6.91,ES,1614562902
Praia,14.9215,-23.5087,66.2,63,40,16.11,CV,1614562905
Taveta,-3.3963,37.6736,69.28,84,38,2.21,KE,1614562905
Tazovskiy,67.4667,78.7,-19.75,87,100,12.82,RU,1614562905
Abonnema,4.7084,6.7931,77.0,88,40,5.84,NG,1614562906
Leshukonskoye,64.8989,45.7622,25.27,97,100,11.05,RU,1614562906
Jalu,29.0331,21.5482,53.13,73,0,8.14,LY,1614562906
Ketchikan,55.3422,-131.6461,39.2,93,75,4.61,US,1614562907
Sola,-13.8833,167.55,81.99,76,0,16.82,VU,1614562907
Krosno,49.6887,21.7706,34.0,94,100,8.99,PL,1614562907
Sao Francisco,-15.9486,-44.8644,68.32,84,91,3.11,BR,1614562748
Kisolon,8.33,124.9769,81.0,82,50,3.0,PH,1614562908
Ivybridge,50.3904,-3.9191,45.0,84,41,3.0,GB,1614562908
Ust-Kuyga,70.0167,135.6,-29.2,82,96,2.44,RU,1614562909
Meadow Lake,34.8014,-106.5436,42.01,41,90,21.85,US,1614562909
Sinop,41.7711,34.8709,28.44,95,83,6.82,TR,1614562844
Duncan,34.5023,-97.9578,51.8,37,1,11.5,US,1614562746
Campbell River,50.0163,-125.2446,44.01,100,90,20.71,CA,1614562910
Nadym,65.5333,72.5167,-18.26,87,100,11.77,RU,1614562911
Kupang,-10.1667,123.5833,82.4,83,20,5.75,ID,1614562941
Otane,-39.8833,176.6333,75.0,72,100,7.0,NZ,1614562949
Nanortalik,60.1432,-45.2371,26.37,95,57,13.18,GL,1614562949
Kaeo,-35.1,173.7833,72.5,61,57,7.23,NZ,1614562720
Boguchany,58.3814,97.4531,-15.95,86,34,0.6,RU,1614562950
Isangel,-19.55,169.2667,83.1,71,11,13.91,VU,1614562933
Nemuro,43.3236,145.575,35.6,60,75,3.44,JP,1614562951
Ambon,-3.6954,128.1814,87.8,62,40,11.5,ID,1614562951
Eyl,7.9803,49.8164,72.68,87,100,12.39,SO,1614562952
Deputatskiy,69.3,139.9,-28.41,86,67,1.66,RU,1614562952
